City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,keflavik,64.0049,-22.5624,285.39,62,0,8.23,IS,1689543474
187,nova sintra,14.8667,-24.7167,296.08,84,83,3.12,CV,1689543474
188,camiri,-20.05,-63.5167,293.03,56,100,0.0,BO,1689543475
189,kone,-21.0595,164.8658,295.65,52,5,3.72,NC,1689543475
190,bridgewater,44.3835,-64.5155,299.32,84,98,6.17,CA,1689543475
191,tynda,55.1667,124.7167,291.07,75,76,0.63,RU,1689543475
192,belen,36.4891,36.2233,298.23,42,0,1.03,TR,1689543475
193,mamburao,13.25,120.6667,297.85,94,100,2.86,PH,1689543476
194,hamilton,39.1834,-84.5333,302.95,61,0,5.66,US,1689543414
195,puerto santa,-8.9906,-78.6456,295.32,79,16,5.9,PE,1689543476
196,puerto armuelles,8.2833,-82.8667,304.14,84,100,1.34,PA,1689543476
197,four corners,28.3329,-81.6474,301.4,93,99,3.98,US,1689543476
198,cassilandia,-19.1133,-51.7342,297.46,42,62,1.76,BR,1689543477
199,changtu,42.7788,124.0955,291.91,96,87,1.62,CN,1689543477
200,arraial do cabo,-22.9661,-42.0278,294.07,88,0,2.06,BR,1689543477
201,lata,40.1629,-8.3327,290.82,91,49,1.46,PT,1689543478
202,plouzane,48.3833,-4.6167,288.18,88,20,3.09,FR,1689543478
203,carutapera,-1.195,-46.02,297.53,93,57,3.0,BR,1689543478
204,mwene-ditu,-7.0,23.45,295.05,38,8,2.05,CD,1689543478
205,prado,-17.3411,-39.2208,295.16,87,10,2.71,BR,1689543479
206,katsuura,35.1333,140.3,299.72,82,100,1.68,JP,1689543479
207,sohbatpur,28.5202,68.5434,308.08,48,3,4.6,PK,1689543479
208,dryden,49.7833,-92.7503,290.31,82,40,3.6,CA,1689543479
209,sisimiut,66.9395,-53.6735,280.61,95,100,2.31,GL,1689543480
210,laguna,38.421,-121.4238,317.14,25,0,2.57,US,1689543480
211,verin,41.9415,-7.4381,289.57,68,66,2.39,ES,1689543480
212,sindirgi,39.2413,28.1784,294.34,70,0,1.72,TR,1689543480
213,chonchi,-42.6128,-73.8092,278.71,88,5,1.17,CL,1689543480
214,kirensk,57.7853,108.1119,288.91,92,100,0.93,RU,1689543480
215,tanout,14.9709,8.8879,303.83,42,13,8.23,NE,1689543481
216,buchanan,5.8808,-10.0467,297.78,89,92,3.01,LR,1689543481
217,monte caseros,-30.2536,-57.6363,282.01,65,6,3.4,AR,1689543481
218,isla vista,34.4133,-119.861,309.35,54,20,3.6,US,1689543481
219,martapura,-3.4167,114.85,297.2,100,75,1.54,ID,1689543482
220,gurupa,-1.405,-51.64,298.42,82,61,0.83,BR,1689543482
221,sidney,-33.8679,151.2073,286.08,92,75,3.6,AU,1689543376
222,alice springs,-23.7,133.8833,277.9,93,10,0.0,AU,1689543482
223,san sebastian de la gomera,28.0916,-17.1133,297.35,64,40,2.57,ES,1689543483
224,dunedin,-45.8742,170.5036,284.15,50,23,0.45,NZ,1689543483
225,nemuro,43.3236,145.575,286.03,93,100,2.89,JP,1689543483
226,chibougamau,49.9168,-74.3659,294.94,78,100,6.17,CA,1689543484
227,lucapa,-8.4192,20.7447,294.19,28,3,2.35,AO,1689543484
228,sal rei,16.1833,-22.9167,299.11,81,43,3.88,CV,1689543484
229,atafu village,-8.5421,-172.5159,301.8,73,63,6.74,TK,1689543484
230,tikapur,28.5,81.1333,300.36,85,96,1.55,NP,1689543485
231,farmington,36.7281,-108.2187,313.28,36,0,3.09,US,1689543485
232,gornyy,55.1153,83.9059,285.5,96,16,1.95,RU,1689543485
233,hotan,37.0997,79.9269,303.22,15,91,3.79,CN,1689543485
234,qashyr,53.0675,76.1036,287.44,94,77,2.99,KZ,1689543486
235,nuuk,64.1835,-51.7216,282.49,100,100,8.23,GL,1689543486
236,basco,20.4487,121.9702,302.65,78,100,1.46,PH,1689543486
237,goundam,16.4145,-3.6708,304.41,50,74,2.46,ML,1689543486
238,pedra azul,-16.0053,-41.2972,291.21,84,4,2.24,BR,1689543339
239,zouerate,22.7187,-12.4521,305.81,21,0,6.15,MR,1689543487
240,greenville,35.6127,-77.3663,306.24,65,40,2.57,US,1689543346
241,forest,37.3638,-79.2897,305.18,58,20,4.17,US,1689543487
242,cold lake,54.4502,-110.2017,296.12,46,100,4.12,CA,1689543487
243,'ali al gharbi,32.4633,46.6864,310.33,7,0,2.83,IQ,1689543488
244,gillette,44.2911,-105.5022,305.43,26,0,5.66,US,1689543350
245,qaqortoq,60.7167,-46.0333,280.09,91,100,0.58,GL,1689543488
246,swan hill,-35.3378,143.5544,277.53,91,0,1.53,AU,1689543488
247,saint-pierre,-21.3393,55.4781,293.97,78,0,3.09,RE,1689543489
248,port augusta,-32.5,137.7667,279.1,56,1,1.15,AU,1689543489
249,new norfolk,-42.7826,147.0587,284.87,67,72,4.76,AU,1689543489
250,glace bay,46.1969,-59.957,299.87,75,75,6.69,CA,1689543489
251,izhevsk,56.85,53.2333,288.78,81,82,0.89,RU,1689543490
252,storm lake,42.6411,-95.2097,298.73,60,0,3.6,US,1689543490
253,inhambane,-23.865,35.3833,291.0,72,5,0.89,MZ,1689543491
254,yarmouth,41.7057,-70.2286,299.41,91,100,6.69,US,1689543491
255,georgetown,5.4112,100.3354,300.11,92,40,2.24,MY,1689543492
256,cannonvale,-20.2833,148.7,291.81,78,67,6.51,AU,1689543492
257,yokadouma,3.5167,15.05,297.2,85,83,0.58,CM,1689543493
258,hobyo,5.3505,48.5268,298.14,81,21,12.15,SO,1689543493
259,grande prairie,55.1667,-118.8027,297.25,46,75,1.03,CA,1689543383
260,cidreira,-30.1811,-50.2056,285.3,79,93,4.32,BR,1689543494
261,poronaysk,49.2167,143.1167,286.32,93,100,1.22,RU,1689543494
262,vershino-darasunskiy,52.35,115.5167,290.82,65,13,1.11,RU,1689543494
263,tsiombe,-25.3,45.4833,290.39,70,0,0.47,MG,1689543495
264,thompson,55.7435,-97.8558,288.24,82,100,1.54,CA,1689543495
265,kamianske,48.5113,34.6021,291.09,57,0,1.31,UA,1689543495
266,bakchar,57.0186,82.0711,284.73,97,13,2.86,RU,1689543496
267,maposeni,-10.5833,35.4,288.68,62,1,1.05,TZ,1689543496
268,degache,33.9761,8.2081,310.33,9,0,0.51,TN,1689543496
269,port-gentil,-0.7193,8.7815,296.13,88,20,3.6,GA,1689543497
270,guangyuan,32.442,105.823,294.7,92,0,1.13,CN,1689543497
271,minas de marcona,-15.2119,-75.1103,289.09,66,39,4.75,PE,1689543498
272,tromso,69.6496,18.957,289.16,82,75,1.54,NO,1689543498
273,daru,-9.0763,143.2092,298.04,84,95,5.91,PG,1689543498
274,laghouat,33.8,2.8651,302.83,9,0,3.68,DZ,1689543499
275,twin lakes,39.825,-105.0047,305.86,31,40,2.57,US,1689543499
276,westport,41.1415,-73.3579,299.14,89,20,0.45,US,1689543329
277,pudasjarvi,65.3833,26.9167,291.07,64,100,3.34,FI,1689543500
278,meadow lakes,61.6247,-149.6011,288.0,91,100,1.34,US,1689543500
279,hami,42.8,93.45,305.63,13,0,6.48,CN,1689543364
280,yugorsk,61.3133,63.3319,287.51,69,1,1.62,RU,1689543501
281,harpswell center,43.8018,-69.9842,297.06,89,100,6.26,US,1689543502
282,dire,12.2833,-10.9667,296.56,98,100,1.75,ML,1689543502
283,nema,57.5067,50.5011,286.74,71,88,2.92,RU,1689543502
284,khandyga,62.6667,135.6,286.61,69,83,2.27,RU,1689543503
285,codrington,-38.2667,141.9667,278.07,94,3,4.71,AU,1689543503
286,korla,41.7597,86.1469,305.06,17,3,5.7,CN,1689543503
287,soufriere,13.8562,-61.0566,301.96,82,75,10.29,LC,1689543504
288,yeppoon,-23.1333,150.7333,290.03,82,91,4.85,AU,1689543504
289,swift current,50.2834,-107.8014,295.6,40,0,2.06,CA,1689543438
290,kruisfontein,-34.0033,24.7314,286.41,57,81,1.71,ZA,1689543505
291,nosy varika,-20.5833,48.5333,291.44,83,24,2.14,MG,1689543505
292,san juan,-31.5375,-68.5364,283.54,36,0,4.56,AR,1689543506
293,cabedelo,-6.9811,-34.8339,296.52,83,7,5.82,BR,1689543214
294,jacutinga,-22.2856,-46.6122,290.2,62,6,0.81,BR,1689543506
